,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Toronto Raptors,26-10,13-4,13-6,16-6,10-4,4-3,5-3,7-0,2-3,6-0,2-1,26-10,0-0,4-3,16-3,7-1,12-3,7-6,0-0,0-0,0-0,0-0
2,Golden State Warriors,23-12,15-4,8-8,10-4,13-8,3-2,3-2,4-0,5-3,4-2,4-3,23-12,0-0,3-3,13-6,8-1,7-7,8-4,0-0,0-0,0-0,0-0
3,Indiana Pacers,23-12,12-5,11-7,17-5,6-7,6-2,4-2,7-1,2-2,2-2,2-3,23-12,0-0,2-3,12-6,5-3,8-6,10-3,0-0,0-0,0-0,0-0
4,Milwaukee Bucks,23-10,14-3,9-7,15-5,8-5,6-2,7-1,2-2,4-1,2-3,2-1,23-10,0-0,3-5,15-3,7-0,8-6,8-4,0-0,0-0,0-0,0-0
5,Philadelphia 76ers,22-13,16-3,6-10,17-11,5-2,4-6,6-4,7-1,1-0,2-0,2-2,22-13,0-0,6-2,10-7,4-4,12-4,6-5,0-0,0-0,0-0,0-0
6,Denver Nuggets,21-11,13-3,8-8,8-5,13-6,3-1,2-2,3-2,5-0,5-2,3-4,21-11,0-0,5-2,8-3,6-1,9-6,6-4,0-0,0-0,0-0,0-0
7,Oklahoma City Thunder,21-12,12-4,9-8,10-2,11-10,2-1,4-1,4-0,2-3,7-4,2-3,21-12,0-0,2-2,12-4,2-4,12-3,7-5,0-0,0-0,0-0,0-0
8,Boston Celtics,20-13,11-5,9-8,15-7,5-6,5-2,6-3,4-2,2-4,1-1,2-1,20-13,0-0,2-2,11-3,5-2,7-8,8-3,0-0,0-0,0-0,0-0
9,Los Angeles Clippers,20-14,12-4,8-10,5-4,15-10,1-2,1-0,3-2,4-5,5-1,6-4,20-14,0-0,3-1,8-6,4-3,11-3,5-8,0-0,0-0,0-0,0-0
10,Los Angeles Lakers,20-14,12-5,8-9,6-5,14-9,0-2,2-0,4-3,5-3,4-0,5-6,20-14,0-0,3-1,8-6,3-5,10-4,7-5,0-0,0-0,0-0,0-0
11,Portland Trail Blazers,19-15,13-5,6-10,8-3,11-12,3-0,2-1,3-2,2-4,4-4,5-4,19-15,0-0,2-2,10-6,5-2,8-7,6-6,0-0,0-0,0-0,0-0
12,San Antonio Spurs,19-16,14-5,5-11,4-5,15-11,1-0,2-3,1-2,5-3,7-4,3-4,19-16,0-0,2-1,12-7,5-2,5-10,9-4,0-0,0-0,0-0,0-0
13,Houston Rockets,18-15,11-5,7-10,7-4,11-11,1-0,5-2,1-2,4-5,4-2,3-4,18-15,0-0,1-3,8-8,1-5,9-6,8-4,0-0,0-0,0-0,0-0
14,Memphis Grizzlies,18-16,10-6,8-10,6-5,12-11,2-3,2-1,2-1,5-3,4-7,3-1,18-16,0-0,3-3,7-4,4-2,9-6,5-8,0-0,0-0,0-0,0-0
15,Sacramento Kings,18-16,9-7,9-9,7-3,11-13,0-1,3-2,4-0,5-5,1-5,5-3,18-16,0-0,2-1,8-10,5-3,5-8,8-5,0-0,0-0,0-0,0-0
16,Brooklyn Nets,17-19,9-11,8-8,13-8,4-11,5-2,3-4,5-2,1-4,3-3,0-4,17-19,0-0,7-5,6-7,3-5,5-10,9-4,0-0,0-0,0-0,0-0
17,Utah Jazz,17-18,7-7,10-11,5-6,12-12,3-2,0-2,2-2,2-4,3-3,7-5,17-18,0-0,0-4,11-7,4-3,7-9,6-6,0-0,0-0,0-0,0-0
18,Charlotte Hornets,16-17,12-7,4-10,15-11,1-6,2-7,8-3,5-1,1-4,0-1,0-1,16-17,0-0,3-8,11-6,4-4,7-7,5-6,0-0,0-0,0-0,0-0
19,Dallas Mavericks,16-17,14-3,2-14,7-3,9-14,2-2,2-0,3-1,4-4,2-7,3-3,16-17,0-0,3-2,5-7,2-6,8-4,6-7,0-0,0-0,0-0,0-0
20,Detroit Pistons,16-16,11-8,5-8,12-13,4-3,5-6,4-2,3-5,1-1,2-0,1-2,16-16,0-0,4-6,5-7,4-3,8-4,4-9,0-0,0-0,0-0,0-0
21,Miami Heat,16-17,7-10,9-7,7-13,9-4,2-4,3-2,2-7,2-1,2-3,5-0,16-17,0-0,4-5,5-8,3-4,5-9,8-4,0-0,0-0,0-0,0-0
22,Minnesota Timberwolves,16-18,12-5,4-13,8-4,8-14,2-2,5-2,1-0,3-3,2-7,3-4,16-18,0-0,2-1,9-8,4-4,7-7,5-7,0-0,0-0,0-0,0-0
23,New Orleans Pelicans,15-20,11-5,4-15,7-8,8-12,3-4,2-1,2-3,2-5,3-4,3-3,15-20,0-0,1-3,9-7,4-3,7-9,4-8,0-0,0-0,0-0,0-0
24,Orlando Magic,14-19,8-11,6-8,9-9,5-10,4-2,2-4,3-3,1-4,3-4,1-2,14-19,0-0,3-4,5-10,2-5,9-7,3-7,0-0,0-0,0-0,0-0
25,Washington Wizards,13-22,9-6,4-16,7-13,6-9,3-6,1-4,3-3,1-2,3-3,2-4,13-22,0-0,3-1,6-14,1-6,7-8,5-8,0-0,0-0,0-0,0-0
26,Atlanta Hawks,9-24,5-10,4-14,7-15,2-9,1-7,2-5,4-3,1-2,0-5,1-2,9-24,0-0,3-1,1-17,2-5,3-13,4-6,0-0,0-0,0-0,0-0
27,Chicago Bulls,9-26,5-13,4-13,6-14,3-12,1-5,2-6,3-3,1-4,1-2,1-6,9-26,0-0,4-6,3-13,2-6,3-12,4-8,0-0,0-0,0-0,0-0
