Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,36,242.1,42.8,89.1,.480,12.0,31.9,.376,30.8,57.2,.538,17.9,21.8,.821,10.0,36.1,46.1,27.9,7.3,6.2,14.3,22.1,115.4
2,Philadelphia 76ers,36,243.5,41.1,87.9,.468,11.3,31.8,.354,29.9,56.1,.533,21.0,27.1,.775,10.3,37.4,47.7,26.9,6.9,5.6,15.1,22.7,114.5
3,Toronto Raptors,36,242.1,42.9,89.5,.480,11.5,33.5,.343,31.5,56.0,.562,16.7,20.8,.806,10.1,35.2,45.3,24.3,8.3,5.3,13.5,21.1,114.1
4,New Orleans Pelicans,35,240.0,43.4,91.2,.476,10.1,28.9,.351,33.3,62.3,.533,19.4,25.4,.766,11.4,36.0,47.4,27.1,7.5,5.6,14.6,22.7,116.4
5,Sacramento Kings,35,240.0,43.6,92.5,.471,11.5,29.9,.385,32.1,62.6,.513,16.5,23.3,.708,10.5,33.8,44.3,25.5,8.2,4.7,13.5,22.2,115.3
6,Brooklyn Nets,36,244.2,40.1,88.3,.453,12.4,34.1,.363,27.7,54.3,.510,18.7,25.2,.742,11.7,33.6,45.2,23.6,6.7,3.9,14.3,22.8,111.2
7,Los Angeles Lakers,35,240.7,43.3,90.1,.481,10.8,31.0,.348,32.5,59.1,.550,16.0,23.0,.694,9.7,36.4,46.1,24.4,8.3,5.9,15.2,20.2,113.3
8,Milwaukee Bucks,34,241.5,42.8,90.5,.473,13.5,39.3,.344,29.2,51.2,.571,17.4,22.9,.763,9.8,40.4,50.2,26.0,7.2,6.1,14.3,20.5,116.5
9,Washington Wizards,35,244.3,41.5,89.4,.465,10.8,32.9,.328,30.7,56.5,.544,18.9,25.0,.756,8.9,31.3,40.2,24.9,8.7,5.3,14.0,22.2,112.7
10,Los Angeles Clippers,34,242.9,41.6,87.3,.477,9.6,24.9,.387,31.9,62.4,.512,23.1,28.7,.805,9.9,36.0,45.9,22.6,5.8,4.9,14.2,22.6,115.9
