Rk,G,Date,Home/Away,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,10/17/18,,NOP,L,112,131,39,92,0.424,16,48,0.333,18,24,0.75,8,37,21,8,7,11,22,52,98,0.531,10,25,0.4,17,22,0.773,14,54,36,8,3,12,25
2,2,10/20/18,@,LAL,W,124,115,44,96,0.458,16,42,0.381,20,30,0.667,13,54,22,7,4,16,21,48,100,0.48,8,32,0.25,11,18,0.611,9,44,28,8,10,10,21
3,3,10/21/18,@,LAC,L,112,115,43,89,0.483,15,35,0.429,11,15,0.733,6,35,28,6,6,12,23,42,89,0.472,5,25,0.2,26,26,1,12,49,22,8,7,13,16
4,4,10/24/18,,UTA,L,89,100,35,87,0.402,11,40,0.275,8,14,0.571,10,35,16,12,5,15,23,34,78,0.436,10,29,0.345,22,28,0.786,9,47,21,7,5,18,21
5,5,10/26/18,,LAC,L,113,133,38,98,0.388,15,41,0.366,22,25,0.88,16,42,21,11,7,13,27,43,79,0.544,12,23,0.522,35,38,0.921,5,44,17,8,4,15,21
6,6,10/30/18,,POR,L,85,104,31,96,0.323,10,43,0.233,13,23,0.565,20,49,18,7,9,11,25,38,80,0.475,8,20,0.4,20,23,0.87,7,51,17,4,4,17,19
7,7,11/2/18,@,BRK,W,119,111,41,83,0.494,15,39,0.385,22,32,0.688,11,41,22,4,10,9,21,42,85,0.494,15,34,0.441,12,20,0.6,9,38,22,5,4,10,28
8,8,11/3/18,@,CHI,W,96,88,35,83,0.422,13,42,0.31,13,20,0.65,10,45,21,13,5,18,22,28,71,0.394,6,23,0.261,26,27,0.963,4,37,15,13,4,19,18
9,9,11/5/18,@,IND,W,98,94,34,76,0.447,15,47,0.319,15,16,0.938,5,39,23,9,6,16,24,33,75,0.44,8,28,0.286,20,30,0.667,7,39,17,8,3,15,15
10,10,11/8/18,@,OKC,L,80,98,31,82,0.378,11,42,0.262,7,10,0.7,12,39,16,9,3,16,26,36,81,0.444,9,37,0.243,17,24,0.708,13,52,18,10,4,14,16
